SBI CLIMATE ACTION FL;India;Energy;€200,000,000
SAO TOME WATER SUPPLY;São Tomé e Principe;Water, sewerage;€5,560,000
SAO TOME WATER SUPPLY;São Tomé e Principe;Water, sewerage;€8,440,000
ISRAEL LOAN FOR SMES&MIDCAPS & GREEN TRANSITION;Israel;Credit lines;€500,000,000
MODERNISATION DU RESEAU ROUTIER AU TCHAD;Chad;Transport;€34,314,000
CONGO DIGITAL TRANSFORMATION;Congo;Services;€26,000,000
AFREXIMBANK AFRICA HEALTH RESILIENCE FL;Regional - Africa;Industry;€50,000,000
AFREXIMBANK AFRICA HEALTH RESILIENCE FL;Regional - Africa;Health;€50,000,000
ARGENTINA - TRANSMISSION NETWORK INVESTMENTS FL;Argentina;Energy;€100,000,000
BICE ARGENTINA - GREEN MBIL;Argentina;Credit lines;€60,000,000
EGYPT INCLUSIVE GROWTH FACILITY;Egypt;Credit lines;€250,000,000
RRF ITALY - FOF URBAN INTEGRATED PLANS - FININT;Italy;Credit lines;€102,924,800
PROJECT JUSTICE (SA);Germany;Industry;€37,125,000
SBCI SME AND CLIMATE ACTION INVESTMENT PLATFORM;Ireland;Credit lines;€28,400,000
RRF ITALY - FOF SUSTAINABLE TOURISM - FININT;Italy;Credit lines;€165,550,000
PROJECT JUSTICE (SA);France;Industry;€30,375,000
FAYOUM WASTEWATER EXPANSION PROJECT;Egypt;Water, sewerage;€46,000,000
WARSAW SUSTAINABLE WATER AND WASTEWATER NETWORK;Poland;Water, sewerage;€192,081,955
REGIONE EMILIA-ROMAGNA EU BLENDING PROGRAMME;Italy;Credit lines;€33,750,000
PROJECT JUSTICE (SA);Germany;Services;€45,375,000
CONNECTED SCHOOLS IN SERBIA;Serbia;Education;€5,000,000
MSME OUTREACH INITIATIVE - CAUCASUS;Georgia;Credit lines;€10,000,000
FRANFINANCE ENERGY EFFICIENCY PF4EE FL;France;Energy;€37,500,000
BANCO ESTADO ECOVIVIENDA - ENERGY MBIL;Chile;Urban development;€200,000,000
SBCI SME AND CLIMATE ACTION INVESTMENT PLATFORM;Ireland;Credit lines;€246,600,000
REGIONE EMILIA-ROMAGNA EU BLENDING PROGRAMME;Italy;Energy;€3,750,000
RRF ITALY - FOF URBAN INTEGRATED PLANS - EQUITER;Italy;Credit lines;€154,387,200
RRF ITALY - FOF SUSTAINABLE TOURISM - EQUITER;Italy;Credit lines;€189,200,000
PROJECT JUSTICE (SA);France;Services;€37,125,000
STEG - PROGRAMME TRANSPORT ET DISTRIBUTION;Tunisia;Energy;€65,789,474
PIAGGIO RDI FOR E-MOBILITY;Italy;Industry;€60,000,000
OTP SERBIA LOAN FOR SMES & MIDCAPS;Serbia;Credit lines;€40,000,000
OTP SERBIA LOAN FOR SMES & MIDCAPS;Serbia;Credit lines;€40,000,000
MCC SUSTAINABLE LOAN FOR COHESION SMES & MIDCAPS;Italy;Credit lines;€50,000,000
CELLECTIS (IEU TI);France;Industry;€40,000,000
PUNCH SUSTAINABLE POWERTRAIN SOLUTIONS;Italy;Industry;€8,800,000
FRANFINANCE ENERGY EFFICIENCY PF4EE CA;France;Energy;€4,750,000
PUNCH SUSTAINABLE POWERTRAIN SOLUTIONS;France;Industry;€1,200,000
COVID-19 HEALTH RESPONSE GHANA;Ghana;Health;€7,500,000
ANGOLA COVID-19 HEALTH RESILIENCE;Angola;Health;€4,500,000
SENEGAL EAU POTABLE & COVID-19;Senegal;Water, sewerage;€5,550,000
FIBER OPTIC NETWORK ROLL OUT POLAND (FONROP);Poland;Telecom;€176,723,861
PUNCH SUSTAINABLE POWERTRAIN SOLUTIONS;Italy;Industry;€26,400,000
DAKAR PUBLIC TRANSPORT NETWORK RESTRUCTURING;Senegal;Transport;€166,900,000
ARMENIA ECONOMIC RESILIENCE FACILITY;Armenia;Credit lines;€70,000,000
PUNCH SUSTAINABLE POWERTRAIN SOLUTIONS;France;Industry;€3,600,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Urban development;€42,500,000
AIRCRAFT INNOVATION;Germany;Industry;€128,700,000
EGYPT INCLUSIVE GROWTH FACILITY;Egypt;Credit lines;€250,000,000
ENGIE GREEN RDI;Belgium;Energy;€62,700,000
AIRCRAFT INNOVATION;France;Industry;€36,300,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Energy;€10,000,000
WINGCOPTER LAST MILE DELIVERY (IEU GT);Germany;Transport;€40,000,000
GLOBAL GATEWAY FUND (GGF);Regional - Asia;Services;€120,000,000
GLOBAL GATEWAY FUND (GGF);Regional - Africa;Services;€60,000,000
GLOBAL GATEWAY FUND (GGF);Mediterranean Countries;Services;€60,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Education;€24,000,000
STOCKHOLM ENERGY EFFICIENT HOUSING;Sweden;Urban development;€225,133,955
MVM DISTRIBUTION NETWORK UPGRADE II;Hungary;Energy;€130,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Health;€20,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Services;€20,000,000
ERSTE LRS ENHANCED SUPPORT FOR MIDCAPS;Austria;Credit lines;€200,000,000
DB LRS ENHANCED SUPPORT FOR MIDCAPS AND CLIMATE;Germany;Credit lines;€200,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Industry;€7,500,000
GLOBAL GATEWAY FUND (GGF);Regional - Latin America;Services;€60,000,000
